iter	RMSE
156	787.9014401
157	787.5606535
158	787.1935449
159	786.7234225
160	786.0958485
161	785.3491934
162	784.8200989
163	784.4230165
164	784.0365778
165	783.5256831
166	783.0275525
167	782.7390804
168	782.1961666
169	781.8080963
170	781.3650665
171	781.0299294
172	780.6701732
173	780.143052
174	779.394447
175	778.8949014
176	778.3753802
177	777.8384598
178	777.1771437
179	776.7439308
180	776.4050735
181	776.0137863
182	775.5646371
183	775.30172
184	774.6761598
185	774.3271135
186	773.5995492
187	773.0748834
188	772.7360752
189	772.3076852
190	771.7865874
191	771.4938466
192	771.1585472
193	770.8328075
194	770.3629845
195	770.1083119
196	769.6047515
197	769.5079781
198	769.2394514
199	768.8346429
200	768.4637799
201	767.9709285
202	767.4851834
203	767.0329304
204	766.6084579
205	766.5330563
206	765.8129244
207	765.3924578
208	765.1032078
209	764.6215934
210	763.9815866
211	763.4139578
212	762.9902009
213	762.5227186
214	761.8660636
215	761.2409946
216	761.0204609
217	760.7769005
218	760.3492394
219	760.0541483
220	759.6538873
221	759.2769437
222	758.7981902
223	758.4220005
224	758.0850141
225	757.4804319
226	757.0544693
227	756.5592091
228	755.9770992
229	755.7169356
230	755.1989643
231	754.969195
232	754.4865421
233	754.1004268
234	753.6151689
235	753.1373108
236	752.7554193
237	752.3385811
238	751.9214333
239	751.4638686
240	751.096691
241	750.6975459
242	750.2883746
243	749.8921153
244	749.4536145
245	748.9529534
246	748.7039126
247	748.3300721
248	747.9564132
249	747.5777796
250	747.232302
251	746.9011206
252	746.5875641
253	746.2651065
254	745.8093026
255	745.3786793
256	744.979166
257	744.5654877
258	744.3003529
259	743.890915
260	743.4545134
261	743.1569579
262	742.7355062
263	742.3642667
264	742.0379095
265	741.6565459
266	741.254265
267	740.9412944
268	740.4013454
269	740.0046376
270	739.6870084
271	739.4572871
272	739.1150061
273	738.5357431
274	738.2424104
275	737.7927357
276	737.2682048
277	736.5252139
278	736.1429572
279	735.7588348
280	735.3341967
281	735.0343032
282	734.7699154
283	734.4779082
284	734.0831499
285	733.8435059
286	733.6019727
287	733.1337714
288	732.7195862
289	732.5457345
290	732.1557119
291	731.8462375
292	731.3760501
293	730.9924048
294	730.7277034
295	730.0972115
296	729.657329
297	729.4356229
298	728.8924003
299	728.6263203
300	728.1663805
301	727.5936074
302	727.2643163
303	726.7824562
304	726.4144714
305	725.8931645
306	725.4143946
307	725.0146876
308	724.5656511
309	724.2938898
310	723.8902293
311	723.6033329
312	723.1868484
313	723.0030795
314	722.7506082
315	722.4425788
316	721.9584249
317	721.5483796
318	721.2097201
319	720.8601927
320	720.4902046
321	720.1726647
322	719.8459014
323	719.3517389
324	719.010944
325	718.71476
326	718.304008
327	717.985749
328	717.7327272
329	717.4052565
330	717.1259811
331	716.7144332
332	716.3109595
333	715.9587535
334	715.5025712
335	714.9987235
336	714.7424323
337	714.4497074
338	714.1863527
339	713.8059257
340	713.5073707
341	713.1379764
342	712.852944
343	712.4972149
344	712.2659343
345	712.0901788
346	711.7650934
347	711.3482033
348	710.9508879
349	710.849945
350	710.475173
351	710.2202745
352	710.1414765
353	709.8323821
354	709.512854
355	709.2117164
356	708.8128496
357	708.3629794
358	708.0305666
359	707.6371462
360	707.1982187
361	706.787408
362	706.3666408
363	706.0876915
364	705.8138568
365	705.3656354
366	705.2484992
367	704.8530737
368	704.5924606
369	704.1659805
370	703.9440981
371	703.4686286
372	703.2062857
373	702.9107431
374	702.5811557
375	702.2517421
376	701.9192949
377	701.6731269
378	701.2501727
379	700.9419193
380	700.5466553
381	700.2065288
382	699.9230958
383	699.7182226
384	699.3545613
385	699.1074491
386	699.0276605
387	698.8085933
388	698.4230003
389	698.1904399
390	697.7995391
391	697.6414508
392	697.4436768
393	697.1753866
394	696.9189505
395	696.8477439
396	696.6525777
397	696.2076717
398	695.7738854
399	695.4533095
400	695.2631435
401	694.9474869
402	694.710325
403	694.4123245
404	694.0950542
405	694.0076591
406	693.6615233
407	693.5253666
408	693.3223763
409	693.0698003
410	692.7842367
411	692.4053899
412	692.1088142
413	691.6697044
414	691.3982387
415	691.0131139
416	690.7163438
417	690.5244576
418	690.3485863
419	689.9639924
420	689.5828965
421	689.2500861
422	688.9428926
423	688.5758909
424	688.107676
425	687.7363771
426	687.4926223
427	687.2487263
428	686.8714941
429	686.5317216
430	686.3621999
431	686.1494617
432	685.8282656
433	685.5602772
434	685.2850163
435	684.9366135
436	684.6502551
437	684.5206514
438	684.0919414
439	683.8010752
440	683.5060751
441	683.1815472
442	682.9349731
443	682.6798639
444	682.4986428
445	682.0500785
446	681.861879
447	681.3998719
448	681.1591574
449	680.7833739
450	680.578714
451	680.3442771
452	680.0665095
453	679.9732318
454	679.5731414
455	679.2144832
456	678.7951321
457	678.5658512
458	678.3041409
459	678.0312094
460	677.5484921
461	677.2479711
462	676.9720141
463	676.7003499
464	676.3132122
465	676.0380918
466	675.7921697
467	675.5391121
468	675.3360189
469	675.027984
470	674.6063577
471	674.3825012
472	674.1519426
473	673.8749625
474	673.765775
475	673.3056704
476	673.0677815
477	672.9062081
478	672.6028725
479	672.3329815
480	672.0234726
481	671.8434829
482	671.797394
483	671.6171939
484	671.3114838
485	671.0395072
486	670.9418847
487	670.7541035
488	670.5283224
489	670.245809
490	670.0604051
491	669.625043
492	669.4115058
493	668.9681175
494	668.8084322
495	668.6909735
496	668.4349803
497	668.1309312
498	667.8487601
499	667.5433325
500	667.1983533
501	666.8396312
502	666.6440616
503	666.3104474
504	665.9648322
505	665.59448
506	665.3880602
507	665.0224319
508	664.8326742
509	664.5543165
510	664.1016012
511	663.684317
512	663.3046678
513	663.164071
514	662.8326725
515	662.6357918
516	662.4373321
517	662.2140715
518	662.0227674
519	661.7310925
520	661.5463404
521	661.3334117
522	660.9968699
523	660.6927423
524	660.3691255
525	660.1173534
526	659.8445261
527	659.6243559
528	659.5653144
529	659.2793031
530	659.064587
531	658.7109618
532	658.61626
533	658.3503418
534	658.1245504
535	657.7417227
536	657.4384504
537	657.2452355
538	657.0161868
539	656.8572822
540	656.5064608
541	656.2737476
542	656.0016016
543	655.7768722
544	655.5552619
545	655.2903346
546	654.9534173
547	654.6633694
548	654.331057
549	654.007874
550	653.8496632
551	653.5336859
552	653.2339774
553	652.8162977
554	652.5332081
555	652.218867
556	651.9072892
557	651.3625169
558	651.0710462
559	650.7422607
560	650.5154409
561	650.2620745
562	650.075059
563	649.8751481
564	649.6939125
565	649.5106722
566	649.175129
567	648.8565061
568	648.6948971
569	648.3786233
570	648.1601918
571	647.8981297
572	647.71068
573	647.4930583
574	647.2680632
575	647.0622812
576	646.8054844
577	646.6269408
578	646.3910647
579	646.0973609
580	645.930368
581	645.6248949
582	645.291512
583	644.9993366
584	644.8420902
585	644.5159252
586	644.2579138
587	644.1777633
588	643.8633723
589	643.5459388
590	643.4986881
591	643.3427688
592	643.2007337
593	643.0716174
594	642.7710446
595	642.5404486
596	642.3905702
597	642.1706137
598	641.8162962
599	641.62052
600	641.351263
601	640.9589636
602	640.5590777
603	640.4020194
604	640.2102299
605	639.9779502
606	639.8748043
607	639.6568334
608	639.4287357
609	639.0937331
610	638.9204693
611	638.6791661
612	638.3478712
613	638.1380571
614	637.8598321
615	637.7110307
616	637.4872201
617	637.1322327
618	636.7843102
619	636.4908737
620	636.0710333
621	635.9176026
622	635.7204662
623	635.4665273
624	635.1761846
625	635.047068
626	634.6563066
627	634.5135511
628	634.249647
629	634.0980053
630	633.9441199
631	633.9033549
632	633.7321696
633	633.5346963
634	633.1773522
635	632.9476775
636	632.8389456
637	632.6809676
638	632.5372614
639	632.2605277
640	632.0485329
641	631.8271712
642	631.5626828
643	631.2428475
644	631.1325586
645	631.0113871
646	630.6921272
647	630.4845807
648	630.2017362
649	629.9852275
650	629.759599
651	629.6510731
652	629.508699
653	629.2532879
654	629.0601703
655	628.8413368
656	628.6882882
657	628.6192971
658	628.5803879
659	628.3678161
660	628.004308
661	627.7510485
662	627.4742697
663	627.3392243
664	627.1004824
665	626.7966974
666	626.6267176
667	626.5957174
668	626.2834057
669	626.0424479
670	625.86344
671	625.8164337
672	625.4372593
673	625.2162355
674	624.969428
675	624.7981186
676	624.3584363
677	624.1048416
678	623.8507737
679	623.5387513
680	623.3742024
681	623.1298601
682	622.8579765
683	622.6852766
684	622.492209
685	622.3760002
686	622.1201387
687	621.9457808
688	621.7433495
689	621.5163011
690	621.1208146
691	620.9530372
692	620.7216514
693	620.6035932
694	620.4554828
695	620.3566365
696	620.1003828
697	619.7611776
698	619.7185227
699	619.5529251
700	619.4095078
701	619.289063
702	619.0082223
703	618.7042917
704	618.5127755
705	618.2933481
706	618.0320841
707	617.848506
708	617.6300647
709	617.30134
710	617.1925066
711	617.0455075
712	616.833181
713	616.5920104
714	616.4457592
715	616.386054
716	616.1318255
717	615.9077008
718	615.7434475
719	615.6507148
720	615.5371031
721	615.3923912
722	615.1403189
723	615.0073715
724	614.8093351
725	614.6682828
726	614.5173844
727	614.4117805
728	614.1331285
729	614.0268141
730	613.9126547
731	613.4511079
732	613.2783377
733	612.9862326
734	612.7103138
735	612.3537917
736	612.1384294
737	612.010532
738	611.7937806
739	611.6403022
740	611.5390316
741	611.4059745
742	611.1791202
743	610.9346547
744	610.7860695
745	610.5033396
746	610.3125338
747	610.1608132
748	610.0037373
749	609.7577597
750	609.6291832
751	609.3828228
752	609.2062033
753	609.0706692
754	608.9124602
755	608.7025369
756	608.4339134
757	608.1885681
758	607.9600076
759	607.6909465
760	607.5285701
761	607.2080632
762	606.9365476
763	606.8142216
764	606.5982969
765	606.4741595
766	606.3480754
767	606.2266825
768	606.1481074
769	605.9354533
770	605.7020002
771	605.382403
772	605.1451643
773	604.8784812
774	604.6240497
775	604.4293788
776	604.2954357
777	604.1689313
778	603.9467668
779	603.8522756
780	603.5151726
781	603.2811038
782	603.1136491
783	602.9159052
784	602.7747164
785	602.5402857
786	602.3437396
787	602.167417
788	601.9998828
789	601.6618006
790	601.4463807
791	601.1108125
792	601.0821239
793	600.8453018
794	600.679869
795	600.6206676
796	600.4720467
797	600.3562015
798	600.094292
799	599.8605696
800	599.6695187
801	599.5893337
802	599.3900062
803	599.1143085
804	598.9603896
805	598.7958476
806	598.5162051
807	598.2404456
808	598.0143278
809	597.8417779
810	597.6132507
811	597.3900619
812	597.0681871
813	596.946012
814	596.8326289
815	596.6214964
816	596.4916841
817	596.2411391
818	596.1078744
819	596.0029521
820	595.7713239
821	595.3675914
822	595.1677916
823	595.0946185
824	594.7757997
825	594.5581528
826	594.4645002
827	594.2374592
828	593.9490514
829	593.7437337
830	593.5945975
831	593.4755086
832	593.2762872
833	593.0492564
834	592.7754091
835	592.528538
836	592.257881
837	592.0660064
838	591.9507654
839	591.7139766
840	591.657468
841	591.4128786
842	591.2056698
843	590.9910305
844	590.8005296
845	590.7198196
846	590.505715
847	590.3437174
848	590.1808037
849	589.9486973
850	589.8312667
851	589.6187473
852	589.4701916
853	589.2693407
854	588.9456831
855	588.6335813
856	588.5851231
857	588.3502813
858	588.058805
859	587.7624877
860	587.5505931
861	587.2430706
862	586.9717635
863	586.7802759
864	586.5455308
865	586.249897
866	586.1392963
867	586.0675979
868	585.9131066
869	585.6695954
870	585.3718301
871	585.2256747
872	584.9879794
873	584.8253487
874	584.7094419
875	584.6364904
876	584.4852565
877	584.2735651
878	584.0810965
879	583.9475419
880	583.6857743
881	583.4497637
882	583.2633638
883	583.1503228
884	582.9722663
885	582.8784155
886	582.7443706
887	582.4860807
888	582.2818813
889	582.1201778
890	581.9863959
891	581.846045
892	581.7232592
893	581.5662381
894	581.3069115
895	581.1167134
896	580.983702
897	580.8139154
898	580.7109406
899	580.6875919
900	580.4966337
901	580.2805262
902	580.0278542
903	579.7876916
904	579.5801416
905	579.4179258
906	579.2728696
907	579.0367788
908	578.8837616
909	578.5785763
910	578.3662198
911	578.0801955
912	577.9142348
913	577.7105544
914	577.5555932
915	577.3338062
916	577.1217229
917	576.9021626
918	576.7196888
919	576.4731175
920	576.3092841
921	576.0954022
922	575.8739814
923	575.7395062
924	575.5543024
925	575.4382726
926	575.2428978
927	575.1142408
928	575.0356652
929	574.8900825
930	574.6999548
931	574.4529054
932	574.2355252
933	574.002122
934	573.8661891
935	573.6791623
936	573.4708468
937	573.2613125
938	573.0356401
939	572.8068373
940	572.7441549
941	572.6367967
942	572.4802681
943	572.3675675
944	572.1870355
945	572.0093768
946	571.9288349
947	571.848831
948	571.5924453
949	571.3866716
950	571.1168316
951	570.9182174
952	570.8034112
953	570.6398744
954	570.413583
955	570.2410758
956	570.1315573
957	569.9412049
958	569.7232392
959	569.5262941
960	569.5016099
961	569.4259072
962	569.2390146
963	569.0416312
964	568.9183593
965	568.6979512
966	568.5525603
967	568.4136194
968	568.2901129
969	568.0576483
970	567.8613717
971	567.786072
972	567.6077489
973	567.5392198
974	567.2600054
975	567.1372138
976	566.9977912
977	566.8665126
978	566.8055379
979	566.6759488
980	566.4603565
981	566.2922193
982	566.2492423
983	566.1304963
984	566.0149741
985	565.9420913
986	565.7866659
987	565.6834656
988	565.4913389
989	565.3372523
990	565.1516398
991	565.0422494
992	564.759016
993	564.5044143
994	564.2625705
995	563.9724342
996	563.9109269
997	563.6637339
998	563.4661584
999	563.2279627
