iter	Passed	Remaining
245	61126	187356
246	61370	187092
247	61611	186822
248	61841	186517
249	62087	186261
250	62346	186046
251	62579	185751
252	62824	185494
253	63050	185180
254	63266	184838
255	63483	184499
256	63718	184214
257	63954	183932
258	64182	183627
259	64396	183283
260	64636	183013
261	64858	182692
262	65081	182377
263	65298	182044
264	65527	181747
265	65751	181435
266	65982	181144
267	66193	180797
268	66419	180493
269	66655	180217
270	66877	179902
271	67084	179549
272	67372	179412
273	67611	179144
274	67850	178877
275	68057	178528
276	68324	178333
277	68598	178159
278	68861	177952
279	69097	177678
280	69334	177407
281	69558	177102
282	69806	176860
283	70061	176634
284	70307	176386
285	70557	176146
286	70812	175921
287	71033	175611
288	71251	175293
289	71479	175002
290	71689	174665
291	71895	174321
292	72147	174089
293	72436	173947
294	72707	173759
295	72954	173513
296	73238	173356
297	73500	173145
298	73729	172858
299	74057	172800
300	74321	172593
301	74596	172412
302	74819	172110
303	75039	171800
304	75240	171448
305	75465	171154
306	75719	170924
307	75953	170648
308	76179	170356
309	76406	170065
310	76632	169773
311	76872	169512
312	77096	169217
313	77307	168894
314	77532	168603
315	77758	168313
316	77998	168053
317	78213	167741
318	78450	167475
319	78670	167174
320	78890	166874
321	79109	166572
322	79321	166255
323	79575	166027
324	79830	165801
325	80066	165537
326	80380	165431
327	80602	165136
328	80820	164834
329	81057	164570
330	81264	164248
331	81484	163949
332	81704	163653
333	81967	163443
334	82206	163185
335	82429	162897
336	82635	162574
337	82853	162275
338	83081	161997
339	83324	161747
340	83591	161545
341	83826	161279
342	84048	160991
343	84269	160700
344	84488	160405
345	84710	160116
346	84954	159871
347	85211	159648
348	85429	159353
349	85656	159077
350	85877	158787
351	86107	158516
352	86369	158303
353	86714	158242
354	86960	157998
355	87241	157818
356	87510	157616
357	87781	157418
358	88042	157201
359	88285	156952
360	88510	156670
361	88743	156404
362	88979	156143
363	89203	155861
364	89414	155557
365	89676	155341
366	89895	155051
367	90140	154807
368	90397	154582
369	90647	154345
370	90875	154072
371	91105	153801
372	91307	153484
373	91558	153250
374	91773	152955
375	92005	152690
376	92221	152398
377	92443	152115
378	92664	151832
379	92893	151563
380	93196	151414
381	93429	151150
382	93647	150862
383	93856	150561
384	94072	150272
385	94305	150009
386	94539	149748
387	94772	149487
388	95011	149233
389	95260	148997
390	95517	148773
391	95763	148531
392	95977	148239
393	96191	147948
394	96450	147727
395	96688	147473
396	96951	147258
397	97188	147004
398	97414	146731
399	97657	146486
400	97913	146259
401	98140	145990
402	98387	145750
403	98654	145539
404	98891	145285
405	99138	145045
406	99388	144808
407	99766	144759
408	100008	144510
409	100280	144306
410	100554	144104
411	100810	143875
412	101077	143662
413	101332	143431
414	101562	143165
415	101786	142892
416	101997	142601
417	102192	142287
418	102426	142028
419	102640	141741
420	102862	141465
421	103070	141172
422	103301	140910
423	103530	140644
424	103772	140397
425	103992	140121
426	104230	139869
427	104456	139601
428	104706	139364
429	104909	139066
430	105116	138772
431	105331	138491
432	105549	138213
433	105763	137931
434	106064	137761
435	106322	137536
436	106564	137290
437	106803	137039
438	107021	136762
439	107260	136513
440	107501	136265
441	107736	136010
442	107962	135744
443	108202	135497
444	108431	135234
445	108678	134995
446	108953	134790
447	109226	134582
448	109460	134326
449	109695	134072
450	109940	133829
451	110167	133566
452	110379	133284
453	110590	133001
454	110830	132752
455	111067	132502
456	111315	132263
457	111554	132014
458	111773	131741
459	112003	131482
460	112235	131225
461	112537	131049
462	112755	130776
463	112975	130506
464	113205	130247
465	113441	129995
466	113659	129722
467	113895	129471
468	114107	129192
469	114349	128947
470	114578	128688
471	114795	128415
472	115019	128150
473	115230	127871
474	115489	127646
475	115710	127378
476	115920	127099
477	116126	126815
478	116345	126546
479	116584	126300
480	116814	126043
481	117048	125790
482	117268	125523
483	117495	125263
484	117735	125018
485	117958	124754
486	118177	124486
487	118394	124217
488	118692	124032
489	118928	123782
490	119146	123514
491	119367	123249
492	119572	122968
493	119809	122720
494	120036	122461
495	120242	122181
496	120477	121931
497	120702	121671
498	120934	121419
499	121160	121160
500	121371	120887
501	121606	120637
502	121843	120389
503	122066	120129
504	122302	119880
505	122550	119644
506	122772	119382
507	123014	119139
508	123272	118912
509	123511	118668
510	123757	118428
511	124008	118195
512	124238	117941
513	124433	117655
514	124681	117418
515	124974	117224
516	125186	116953
517	125419	116702
518	125635	116437
519	125886	116203
520	126097	115932
521	126330	115682
522	126540	115410
523	126778	115165
524	127041	114942
525	127291	114707
526	127517	114451
527	127746	114197
528	127960	113930
529	128177	113667
530	128411	113418
531	128625	113151
532	128840	112886
533	129060	112625
534	129285	112369
535	129519	112121
536	129746	111866
537	129975	111614
538	130201	111359
539	130418	111097
540	130658	110854
541	130878	110595
542	131159	110386
543	131380	110128
544	131611	109877
545	131839	109624
546	132092	109392
547	132325	109144
548	132550	108889
549	132772	108632
550	132997	108376
551	133225	108125
552	133466	107883
553	133695	107632
554	133950	107401
555	134218	107181
556	134436	106921
557	134683	106684
558	134906	106428
559	135128	106172
560	135355	105920
561	135596	105678
562	135827	105429
563	136050	105174
564	136271	104917
565	136485	104655
566	136731	104417
567	136952	104160
568	137177	103907
569	137459	103697
570	137680	103441
571	137904	103187
572	138137	102940
573	138389	102707
574	138619	102457
575	138843	102204
576	139057	101943
577	139271	101682
578	139516	101444
579	139738	101190
580	139964	100938
581	140192	100687
582	140395	100420
583	140615	100164
584	140844	99915
585	141078	99669
586	141315	99426
587	141546	99178
588	141788	98939
589	142009	98684
590	142224	98425
591	142431	98162
592	142654	97909
593	142891	97666
594	143119	97417
595	143329	97156
596	143641	96964
597	143858	96707
598	144098	96466
599	144318	96212
600	144575	95982
601	144809	95738
602	145061	95504
603	145277	95248
604	145496	94993
605	145737	94753
606	145968	94506
607	146208	94266
608	146432	94015
609	146662	93767
610	146875	93510
611	147094	93256
612	147323	93008
613	147540	92753
614	147794	92521
615	148002	92261
616	148247	92024
617	148466	91770
618	148711	91533
619	148949	91291
620	149185	91048
621	149411	90799
622	149635	90549
623	149939	90348
624	150164	90098
625	150382	89845
626	150610	89597
627	150866	89366
628	151079	89110
629	151298	88857
630	151518	88606
631	151764	88369
632	151999	88126
633	152218	87873
634	152439	87622
635	152665	87374
636	152893	87127
637	153108	86873
638	153329	86622
639	153548	86371
640	153770	86120
641	154029	85891
642	154262	85648
643	154490	85401
644	154720	85156
645	154939	84904
646	155162	84656
647	155392	84410
648	155608	84157
649	155830	83908
650	156130	83701
651	156337	83443
652	156549	83189
653	156780	82944
654	157026	82708
655	157252	82461
656	157493	82222
657	157702	81966
658	157926	81719
659	158174	81483
660	158409	81241
661	158642	80998
662	158882	80759
663	159093	80505
664	159333	80265
665	159547	80013
666	159770	79765
667	159970	79506
668	160209	79266
669	160421	79013
670	160638	78763
671	160866	78518
672	161088	78270
673	161344	78039
674	161578	77797
675	161808	77552
676	162039	77309
677	162335	77097
678	162584	76862
679	162806	76614
680	163040	76372
681	163273	76130
682	163502	75886
683	163739	75645
684	163964	75399
685	164188	75153
686	164412	74906
687	164626	74656
688	164848	74408
689	165087	74169
690	165332	73933
691	165552	73685
692	165774	73438
693	165998	73192
694	166219	72945
695	166434	72695
696	166663	72451
697	166893	72208
698	167107	71959
699	167337	71716
700	167545	71463
701	167775	71221
702	168019	70983
703	168239	70737
704	168544	70525
705	168791	70290
706	169029	70050
707	169252	69804
708	169468	69556
709	169711	69318
710	169937	69074
711	170167	68831
712	170387	68585
713	170610	68339
714	170826	68091
715	171061	67851
716	171279	67604
717	171482	67350
718	171709	67107
719	171923	66859
720	172146	66614
721	172363	66366
722	172598	66126
723	172819	65881
724	173042	65636
725	173247	65385
726	173480	65144
727	173700	64899
728	173978	64675
729	174205	64432
730	174423	64185
731	174745	63977
732	174973	63735
733	175212	63496
734	175442	63254
735	175670	63012
736	175905	62772
737	176125	62526
738	176361	62287
739	176585	62043
740	176801	61797
741	177035	61556
742	177255	61311
743	177483	61069
744	177728	60833
745	177951	60589
746	178193	60352
747	178411	60106
748	178641	59865
749	178879	59626
750	179102	59382
751	179321	59137
752	179555	58898
753	179767	58650
754	180012	58414
755	180232	58170
756	180437	57921
757	180660	57677
758	180974	57463
759	181219	57227
760	181438	56982
761	181667	56741
762	181893	56498
763	182111	56254
764	182327	56009
765	182561	55769
766	182788	55527
767	183033	55291
768	183243	55044
769	183458	54799
770	183699	54561
771	183931	54321
772	184164	54081
773	184400	53843
774	184632	53603
775	184865	53363
776	185123	53130
777	185329	52883
778	185558	52642
779	185779	52399
780	186017	52161
781	186232	51916
782	186449	51672
783	186664	51428
784	186909	51191
785	187249	50981
786	187470	50738
787	187685	50494
788	187922	50255
789	188163	50018
790	188380	49774
791	188604	49532
792	188822	49289
793	189046	49047
794	189263	48803
795	189484	48561
796	189706	48319
797	189934	48078
798	190175	47841
799	190400	47600
800	190635	47361
801	190871	47122
802	191100	46882
803	191367	46651
804	191607	46414
805	191837	46174
806	192060	45932
807	192301	45695
808	192568	45464
809	192797	45224
810	193025	44983
811	193260	44744
812	193591	44528
813	193831	44290
814	194050	44048
815	194290	43810
816	194543	43575
817	194762	43333
818	194995	43094
819	195216	42852
820	195446	42612
821	195693	42376
822	195939	42140
823	196152	41896
824	196388	41658
825	196658	41426
826	196874	41184
827	197086	40940
828	197320	40701
829	197546	40461
830	197797	40225
831	198035	39987
832	198257	39746
833	198485	39506
834	198727	39269
835	199004	39039
836	199224	38797
837	199451	38557
838	199674	38316
839	199980	38091
840	200206	37851
841	200429	37610
842	200667	37372
843	200963	37144
844	201192	36905
845	201409	36663
846	201645	36424
847	201900	36189
848	202151	35953
849	202390	35715
850	202619	35476
851	202851	35237
852	203092	34999
853	203319	34759
854	203556	34521
855	203786	34281
856	204024	34043
857	204249	33803
858	204464	33561
859	204696	33322
860	204921	33082
861	205156	32844
862	205381	32603
863	205611	32364
864	205859	32128
865	206084	31888
866	206359	31656
867	206578	31415
868	206796	31174
869	207032	30935
870	207261	30696
871	207476	30455
872	207707	30216
873	207935	29977
874	208189	29741
875	208418	29502
876	208647	29262
877	208854	29020
878	209076	28780
879	209312	28542
880	209555	28305
881	209800	28068
882	210009	27826
883	210228	27586
884	210442	27345
885	210676	27107
886	210902	26868
887	211129	26629
888	211354	26389
889	211571	26149
890	211802	25910
891	212035	25672
892	212261	25433
893	212543	25200
894	212764	24961
895	212996	24722
896	213232	24484
897	213477	24247
898	213698	24008
899	213928	23769
900	214158	23531
901	214392	23293
902	214614	23053
903	214861	22817
904	215096	22579
905	215319	22339
906	215557	22102
907	215804	21865
908	216028	21626
909	216267	21389
910	216499	21150
911	216758	20915
912	216981	20676
913	217200	20436
914	217403	20195
915	217675	19961
916	217906	19723
917	218128	19484
918	218362	19246
919	218589	19007
920	218902	18776
921	219136	18538
922	219362	18299
923	219598	18062
924	219816	17822
925	220045	17584
926	220265	17345
927	220496	17107
928	220706	16867
929	220943	16630
930	221175	16392
931	221421	16155
932	221643	15916
933	221872	15678
934	222114	15441
935	222345	15203
936	222583	14965
937	222848	14729
938	223075	14491
939	223307	14253
940	223518	14014
941	223752	13776
942	223985	13538
943	224195	13299
944	224428	13061
945	224676	12825
946	224891	12586
947	225205	12353
948	225433	12114
949	225640	11875
950	225888	11638
951	226107	11400
952	226352	11163
953	226574	10924
954	226831	10688
955	227053	10450
956	227260	10211
957	227494	9973
958	227751	9737
959	228018	9500
960	228224	9261
961	228443	9023
962	228670	8785
963	228898	8548
964	229161	8311
965	229412	8074
966	229652	7837
967	229876	7599
968	230098	7361
969	230320	7123
970	230525	6884
971	230755	6647
972	231018	6410
973	231246	6172
974	231543	5937
975	231767	5699
976	231992	5461
977	232216	5223
978	232430	4985
979	232645	4747
980	232873	4510
981	233105	4272
982	233341	4035
983	233567	3797
984	233805	3560
985	234048	3323
986	234290	3085
987	234524	2848
988	234741	2610
989	234952	2373
990	235164	2135
991	235392	1898
992	235671	1661
993	235964	1424
994	236205	1186
995	236430	949
996	236648	712
997	236870	474
998	237124	237
999	237389	0
